Date,Positive Total,Positive New
1/29/2020,1,1
1/30/2020,1,0
1/31/2020,1,0
2/1/2020,1,0
2/2/2020,1,0
2/3/2020,1,0
2/4/2020,1,0
2/5/2020,1,0
2/6/2020,2,1
2/7/2020,2,0
2/8/2020,2,0
2/9/2020,2,0
2/10/2020,2,0
2/11/2020,2,0
2/12/2020,2,0
2/13/2020,2,0
2/14/2020,2,0
2/15/2020,2,0
2/16/2020,2,0
2/17/2020,2,0
2/18/2020,2,0
2/19/2020,2,0
2/20/2020,2,0
2/21/2020,2,0
2/22/2020,2,0
2/23/2020,2,0
2/24/2020,2,0
2/25/2020,2,0
2/26/2020,2,0
2/27/2020,2,0
2/28/2020,2,0
2/29/2020,2,0
3/1/2020,3,1
3/2/2020,3,0
3/3/2020,4,1
3/4/2020,6,2
3/5/2020,14,8
3/6/2020,28,14
3/7/2020,72,44
3/8/2020,91,19
3/9/2020,96,5
3/10/2020,110,14
3/11/2020,132,22
3/12/2020,161,29
3/13/2020,222,61
3/14/2020,295,73
3/15/2020,363,68
3/16/2020,513,150
3/17/2020,762,249
3/18/2020,1021,259
3/19/2020,1299,278
3/20/2020,1687,388
3/21/2020,2008,321
3/22/2020,2294,286
3/23/2020,2903,609
3/24/2020,3621,718
3/25/2020,4367,746
3/26/2020,5303,936
3/27/2020,6246,943
3/28/2020,6900,654
3/29/2020,7423,523
3/30/2020,8661,1238
3/31/2020,9927,1266
4/1/2020,11264,1337
4/2/2020,12542,1278
4/3/2020,14022,1480
4/4/2020,15185,1163
4/5/2020,16162,977
4/6/2020,18094,1932
4/7/2020,20116,2022
4/8/2020,21980,1864
4/9/2020,23958,1978
4/10/2020,26012,2054
4/11/2020,27309,1297
4/12/2020,28238,929
4/13/2020,30255,2017
4/14/2020,33126,2871
4/15/2020,35725,2599
4/16/2020,38112,2387
4/17/2020,41104,2992
4/18/2020,42585,1481
4/19/2020,43674,1089
4/20/2020,46364,2690
4/21/2020,48554,2190
4/22/2020,51268,2714
4/23/2020,53676,2408
4/24/2020,55959,2283
4/25/2020,57455,1496
4/26/2020,58302,847
4/27/2020,60432,2130
4/28/2020,62539,2107
4/29/2020,64729,2190
4/30/2020,66777,2048
5/1/2020,68861,2084
5/2/2020,69892,1031
5/3/2020,70627,735
5/4/2020,72508,1881
5/5/2020,74246,1738
5/6/2020,75946,1700
5/7/2020,77629,1683
5/8/2020,79090,1461
5/9/2020,79774,684
5/10/2020,80160,386
5/11/2020,81473,1313
5/12/2020,82929,1456
5/13/2020,84248,1319
5/14/2020,85564,1316
5/15/2020,86671,1107
5/16/2020,87321,650
5/17/2020,87687,366
5/18/2020,89013,1326
5/19/2020,90091,1078
5/20/2020,91111,1020
5/21/2020,92080,969
5/22/2020,92946,866
5/23/2020,93336,390
5/24/2020,93638,302
5/25/2020,93836,198
5/26/2020,94703,867
5/27/2020,95397,694
5/28/2020,96042,645
5/29/2020,96575,533
5/30/2020,96845,270
5/31/2020,97007,162
6/1/2020,97515,508
6/2/2020,97962,447
6/3/2020,98424,462
6/4/2020,98807,383
6/5/2020,99146,339
6/6/2020,99295,149
6/7/2020,99446,151
6/8/2020,99801,355
6/9/2020,100145,344
6/10/2020,100402,257
6/11/2020,100631,229
6/12/2020,100887,256
6/13/2020,100985,98
6/14/2020,101062,77
6/15/2020,101297,235
6/16/2020,101497,200
6/17/2020,101745,248
6/18/2020,101986,241
6/19/2020,102162,176
6/20/2020,102255,93
6/21/2020,102334,79
6/22/2020,102562,228
6/23/2020,102752,190
6/24/2020,102963,211
6/25/2020,103169,206
6/26/2020,103369,200
6/27/2020,103503,134
6/28/2020,103573,70
6/29/2020,103774,201
6/30/2020,103994,220
7/1/2020,104212,218
7/2/2020,104435,223
7/3/2020,104532,97
7/4/2020,104593,61
7/5/2020,104693,100
7/6/2020,104932,239
7/7/2020,105173,241
7/8/2020,105388,215
7/9/2020,105641,253
7/10/2020,105871,230
7/11/2020,105987,116
7/12/2020,106076,89
7/13/2020,106342,266
7/14/2020,106575,233
7/15/2020,106875,300
7/16/2020,107120,245
7/17/2020,107344,224
7/18/2020,107473,129
7/19/2020,107545,72
7/20/2020,107829,284
7/21/2020,108091,262
7/22/2020,108350,259
7/23/2020,108609,259
7/24/2020,108868,259
7/25/2020,109028,160
7/26/2020,109130,102
7/27/2020,109492,362
7/28/2020,109812,320
7/29/2020,110129,317
7/30/2020,110575,446
7/31/2020,110916,341
8/1/2020,111064,148
8/2/2020,111177,113
8/3/2020,111538,361
8/4/2020,111845,307
8/5/2020,112173,328
8/6/2020,112505,332
8/7/2020,112797,292
8/8/2020,112941,144
8/9/2020,112993,52
8/10/2020,113167,174
8/11/2020,113196,29
8/12/2020,113198,2
