Date,Molecular Total,Molecular New,Molecular Positive New,Molecular Missing,Serology Total,Serology New,Serology Positive New,First Molecular Test per person,Repeat Molecular Tests,All Molecular Tests,All Positive Molecular Tests,Antigen Positive New,Antigen New,Antigen Total
1/22/2020,1,1,0,,0,0,0,1,0,1,0,0,0,0
1/23/2020,2,1,0,,0,0,0,1,0,1,0,0,0,0
1/24/2020,2,0,0,,0,0,0,0,0,0,0,0,0,0
1/25/2020,2,0,0,,0,0,0,0,0,0,0,0,0,0
1/26/2020,2,0,0,,0,0,0,0,0,0,0,0,0,0
1/27/2020,3,1,0,,0,0,0,1,0,1,0,0,0,0
1/28/2020,3,0,0,,0,0,0,0,0,0,0,0,0,0
1/29/2020,4,1,1,,0,0,0,1,0,1,1,0,0,0
1/30/2020,4,0,0,,0,0,0,0,0,0,0,0,0,0
1/31/2020,4,0,0,,0,0,0,0,0,0,0,0,0,0
2/1/2020,4,0,0,,0,0,0,0,0,0,0,0,0,0
2/2/2020,4,0,0,,0,0,0,0,0,0,0,0,0,0
2/3/2020,7,3,0,,0,0,0,3,0,3,0,0,0,0
2/4/2020,9,2,0,,0,0,0,2,0,2,0,0,0,0
2/5/2020,9,0,0,,0,0,0,0,0,0,0,0,0,0
2/6/2020,10,1,1,,0,0,0,1,0,1,1,0,0,0
2/7/2020,10,0,0,,0,0,0,0,0,0,0,0,0,0
2/8/2020,11,1,0,,0,0,0,1,0,1,0,0,0,0
2/9/2020,11,0,0,,0,0,0,0,0,0,0,0,0,0
2/10/2020,11,0,0,,0,0,0,0,1,1,1,0,0,0
2/11/2020,11,0,0,,0,0,0,0,0,0,0,0,0,0
2/12/2020,11,0,0,,0,0,0,1,0,1,0,0,0,0
2/13/2020,11,0,0,,0,0,0,0,0,0,0,0,0,0
2/14/2020,11,0,0,,0,0,0,0,0,0,0,0,0,0
2/15/2020,11,0,0,,0,0,0,0,0,0,0,0,0,0
2/16/2020,11,0,0,,0,0,0,0,0,0,0,0,0,0
2/17/2020,11,0,0,,0,0,0,0,0,0,0,0,0,0
2/18/2020,11,0,0,,0,0,0,0,0,0,0,0,0,0
2/19/2020,11,0,0,,0,0,0,0,0,0,0,0,0,0
2/20/2020,11,0,0,,0,0,0,0,1,1,1,0,0,0
2/21/2020,11,0,0,,0,0,0,0,0,0,0,0,0,0
2/22/2020,11,0,0,,0,0,0,0,0,0,0,0,0,0
2/23/2020,11,0,0,,0,0,0,0,0,0,0,0,0,0
2/24/2020,11,0,0,,1,1,0,0,2,2,1,0,0,0
2/25/2020,11,0,0,,1,0,0,0,0,0,0,0,0,0
2/26/2020,11,0,0,,1,0,0,0,0,0,0,0,0,0
2/27/2020,11,0,0,,1,0,0,0,0,0,0,0,0,0
2/28/2020,12,1,0,,1,0,0,0,2,2,1,0,0,0
2/29/2020,13,1,0,,1,0,0,1,0,1,0,0,0,0
3/1/2020,15,2,1,,1,0,0,2,2,4,1,0,0,0
3/2/2020,18,3,0,,1,0,0,3,3,6,1,0,0,0
3/3/2020,32,14,1,,2,1,0,14,1,15,1,0,0,0
3/4/2020,51,19,2,,2,0,0,19,3,22,2,0,0,0
3/5/2020,83,32,8,,2,0,0,33,3,36,8,0,0,0
3/6/2020,121,38,14,,2,0,0,42,7,49,14,0,0,0
3/7/2020,205,84,44,,2,0,0,86,14,100,44,0,0,0
3/8/2020,260,55,19,,2,0,0,54,7,61,20,0,0,0
3/9/2020,332,72,5,,2,0,0,76,5,81,7,0,0,0
3/10/2020,436,104,14,,2,0,0,103,6,109,14,0,0,0
3/11/2020,609,173,22,,2,0,0,176,6,182,23,0,0,0
3/12/2020,1026,417,29,,2,0,0,425,7,432,29,0,0,0
3/13/2020,1963,937,61,,2,0,0,971,14,985,64,0,0,0
3/14/2020,2862,899,73,,2,0,0,920,15,935,74,0,0,0
3/15/2020,3889,1027,68,,2,0,0,1057,27,1084,72,0,0,0
3/16/2020,6029,2140,150,,2,0,0,2217,18,2235,152,0,0,0
3/17/2020,8706,2677,249,,2,0,0,2762,28,2790,255,0,0,0
3/18/2020,11684,2978,259,,2,0,0,3069,157,3226,263,0,0,0
3/19/2020,14582,2898,278,,2,0,0,2996,142,3138,286,0,0,0
3/20/2020,18220,3638,388,,2,0,0,3751,124,3875,394,0,0,0
3/21/2020,20749,2529,321,,2,0,0,2603,168,2771,339,0,0,0
3/22/2020,22643,1894,286,,2,0,0,1943,159,2102,298,0,0,0
3/23/2020,26423,3780,609,,2,0,0,3895,202,4097,632,0,0,0
3/24/2020,30408,3985,718,,2,0,0,4112,207,4319,738,0,0,0
3/25/2020,34506,4098,746,,2,0,0,4215,269,4484,792,0,0,0
3/26/2020,38915,4409,936,,2,0,0,4537,299,4836,984,0,0,0
3/27/2020,43274,4359,943,,2,0,0,4473,342,4815,1007,0,0,0
3/28/2020,46073,2799,654,,2,0,0,2870,332,3202,704,0,0,0
3/29/2020,48141,2068,523,,2,0,0,2155,318,2473,576,0,0,0
3/30/2020,53182,5041,1238,,2,0,0,5165,416,5581,1317,0,0,0
3/31/2020,58415,5233,1266,,2,0,0,5459,471,5930,1403,0,0,0
4/1/2020,63334,4919,1337,,2,0,0,5113,463,5576,1423,0,0,0
4/2/2020,68544,5210,1278,,5,3,1,5407,597,6004,1404,0,0,0
4/3/2020,74268,5724,1480,,5,0,0,5938,629,6567,1625,0,0,0
4/4/2020,78240,3972,1163,,9,4,1,4054,690,4744,1322,0,0,0
4/5/2020,81644,3404,977,,9,0,0,3563,539,4102,1077,0,0,0
4/6/2020,88250,6606,1932,,13,4,0,6797,783,7580,2101,0,0,0
4/7/2020,94778,6528,2022,,17,4,0,6655,967,7622,2241,0,0,0
4/8/2020,101544,6766,1864,,19,2,0,6975,983,7958,2107,0,0,0
4/9/2020,107935,6391,1978,,41,22,2,6734,1041,7775,2276,0,0,0
4/10/2020,115498,7563,2054,,42,1,1,7789,1062,8851,2314,0,0,0
4/11/2020,119845,4347,1297,,43,1,0,4496,810,5306,1473,0,0,0
4/12/2020,122858,3013,929,,46,3,2,3089,713,3802,1072,0,0,0
4/13/2020,129125,6267,2017,,54,8,0,6368,1136,7504,2263,0,0,0
4/14/2020,138842,9717,2871,,62,8,2,9847,1498,11345,3214,0,0,0
4/15/2020,148721,9879,2599,,72,10,2,10184,1469,11653,2913,0,0,0
4/16/2020,157583,8862,2387,,93,21,0,8964,1742,10706,2797,0,0,0
4/17/2020,168584,11001,2992,,173,80,5,11378,1747,13125,3324,0,0,0
4/18/2020,174569,5985,1481,,181,8,3,6318,1160,7478,1708,1,1,1
4/19/2020,179138,4569,1089,,191,10,1,4655,941,5596,1267,0,0,1
4/20/2020,189852,10714,2690,,255,64,6,11024,1939,12963,3109,0,0,1
4/21/2020,199261,9409,2190,,331,76,11,9681,2142,11823,2711,0,0,1
4/22/2020,211641,12380,2714,,478,147,17,12680,2717,15397,3230,0,0,1
4/23/2020,222389,10748,2408,,951,473,31,10863,2562,13425,2933,0,0,1
4/24/2020,234710,12321,2283,,1849,898,82,12374,2529,14903,2818,0,0,1
4/25/2020,242885,8175,1496,,2336,487,25,8417,1849,10266,1830,0,0,1
4/26/2020,247752,4867,847,,2791,455,36,4789,1419,6208,1166,0,0,1
4/27/2020,258680,10928,2130,,3933,1142,79,10839,2956,13795,2770,0,0,1
4/28/2020,270906,12226,2107,,5354,1421,83,12268,3007,15275,2767,0,0,1
4/29/2020,283474,12568,2190,,7057,1703,105,12570,2944,15514,2825,0,0,1
4/30/2020,297172,13698,2048,,8435,1378,116,13712,3162,16874,2705,0,0,1
5/1/2020,311214,14042,2084,,10212,1777,130,13982,3308,17290,2732,0,0,1
5/2/2020,318433,7219,1031,,10806,594,57,7302,1895,9197,1412,0,0,1
5/3/2020,323512,5079,735,,11210,404,42,5032,1430,6462,1001,0,1,2
5/4/2020,335532,12020,1881,,13230,2020,162,11885,3559,15444,2710,0,0,2
5/5/2020,348109,12577,1738,,15207,1977,157,12423,3590,16013,2505,0,1,3
5/6/2020,361352,13243,1700,,17186,1979,184,13059,3626,16685,2483,0,0,3
5/7/2020,374780,13428,1683,,19253,2067,173,13407,3684,17091,2469,0,0,3
5/8/2020,388028,13248,1461,,21137,1884,136,13210,3735,16945,2224,0,0,3
5/9/2020,393838,5810,684,,21764,627,38,5708,1980,7688,1025,0,0,3
5/10/2020,396990,3152,386,,22118,354,77,3077,1482,4559,674,0,0,3
5/11/2020,408772,11782,1313,,23959,1841,162,11604,4038,15642,2124,0,0,3
5/12/2020,422025,13253,1456,,25832,1873,148,13061,4298,17359,2270,0,0,3
5/13/2020,435965,13940,1319,,27577,1745,178,13765,4157,17922,2109,0,1,4
5/14/2020,449320,13355,1316,,29208,1631,165,13167,4210,17377,2083,0,0,4
5/15/2020,463070,13750,1107,,30823,1615,141,13564,4204,17768,1852,0,0,4
5/16/2020,470167,7097,650,,31357,534,51,6979,2361,9340,1033,1,1,5
5/17/2020,474454,4287,366,115,31715,358,54,4230,1625,5855,596,3,3,8
5/18/2020,487811,13357,1326,1,33342,1627,137,13154,4436,17590,2144,1,1,9
5/19/2020,500147,12336,1078,0,35046,1704,164,12195,4494,16689,1860,16,82,91
5/20/2020,512970,12823,1020,0,36907,1861,149,12610,4300,16910,1679,12,100,191
5/21/2020,524691,11721,969,0,38613,1706,193,11540,4404,15944,1670,19,282,473
5/22/2020,535722,11031,866,0,40257,1644,158,10861,3950,14811,1504,10,209,682
5/23/2020,540682,4960,390,0,40678,421,41,4896,1816,6712,628,16,197,879
5/24/2020,544775,4093,302,0,40992,314,41,4024,1535,5559,509,15,204,1083
5/25/2020,547879,3104,198,0,41322,330,49,3073,1493,4566,382,20,234,1317
